# BEAST v1.8.4
# Generated Thu Sep 09 12:55:12 JST 2021 [seed=1631159688978]
# -window -working -options
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	CP1+2.kappa1	CP1+2.kappa2	CP3.kappa1	CP3.kappa2	frequencies1	frequencies2	frequencies3	frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.mu	CP3.mu	clock.rate	meanRate	CP1+2.treeLikelihood	CP3.treeLikelihood	branchRates	skyline
230000	-10442.950775548255	-3116.887049210948	-7326.063726337306	124.11126504128528	22.148120559283015	19.69792537440269	60.44051600809256	96.24540353481575	39.00486065165649	62.96371409195486	148.75664061728693	88.48653251431385	59.297899447287726	25.441996975580793	10.0	3.0	22.0	6.0	7.0	4.0	1.0	4.0	1.0	1.0	3.2805082677525674	7.799727784417638	14.176378213625418	22.965434941769086	0.23849150003492314	0.2625499625910548	0.24413935202066758	0.25481918535335435	0.014494382815384078	0.6310835938001508	0.17306367715489607	2.6538726456902024	8.804366382792706E-4	8.804366382792711E-4	-2304.6908257313235	-5021.372900605983	0.0	-285.8233469605357
240000	-10467.180104439758	-3122.949493233805	-7344.230611205952	140.9497033237454	24.973921330748492	41.62871872360814	42.63192394797647	73.06005548765216	166.6721060125296	167.9358569366814	50.206487037662384	154.43584879453462	29.778047838796883	20.489091885432586	4.0	6.0	12.0	21.0	1.0	2.0	5.0	2.0	4.0	2.0	3.0176607984960606	10.807586163555808	13.996916452227625	23.477451709892804	0.2545654409588082	0.26184908998955947	0.22960213821241024	0.2539833308392219	0.006896448065712136	0.646268579206253	0.1407000595069777	2.7185998809860394	0.0010060329627223244	0.0010060329627223242	-2307.6060760559712	-5036.624535149981	0.0	-289.4532636936602
250000	-10460.28553523636	-3115.0896387106563	-7345.195896525704	138.42131519209502	17.33164557745128	26.92879718690207	20.830368748752708	55.690164369816365	148.17686622039236	251.2684980445568	32.14615401178284	48.1469401251731	197.53145617013186	46.345356844228654	2.0	2.0	6.0	24.0	2.0	1.0	6.0	8.0	2.0	6.0	3.908402886136643	8.712345179120879	15.348911754032244	25.214645838345298	0.2279898016166372	0.25708794171369453	0.24165618787578916	0.2732660687938788	0.03067446101075191	0.5409629640875699	0.15981643785323263	2.6803671242935287	0.0010114052497802585	0.001011405249780258	-2315.7924483335582	-5029.403448192145	0.0	-279.70398994738497
260000	-10464.133503898456	-3130.5434031777513	-7333.590100720705	126.13856584644253	59.16400849970533	68.50472441998576	63.1184773857532	48.92136344528887	79.14385065718695	223.47064003215965	86.05672534521963	62.177402425093845	108.49207721225439	25.734347109850052	11.0	7.0	3.0	10.0	10.0	1.0	1.0	7.0	5.0	4.0	3.534465768586484	6.2744222311136735	13.561234672936973	24.475024224254316	0.24554196222290495	0.24852152367148958	0.25773227700565765	0.24820423709994768	0.021726723744755504	0.7832623896590376	0.176158454946237	2.64768309010752	9.509791619118529E-4	9.509791619118535E-4	-2310.4273800355572	-5023.162720685148	0.0	-296.3479908787518
270000	-10460.401924388992	-3131.402077051031	-7328.999847337962	125.18412663975118	24.076147509720805	72.84575650781817	317.47835348800595	45.51719681741243	32.272874815594626	44.63306315528394	199.9564403746639	51.418279728292234	54.05008796424223	31.93322638097201	13.0	3.0	2.0	5.0	6.0	4.0	4.0	14.0	5.0	3.0	4.5524038775442595	13.224041850667014	14.85880879225893	24.76866007200804	0.2530062646205839	0.2541983824949646	0.24760483652049872	0.2451905163639525	0.053769192779209184	0.6506132622945038	0.15482868098433583	2.690342638031321	8.522991857514247E-4	8.522991857514247E-4	-2304.113332070772	-5024.88651526719	0.0	-292.684385517776
280000	-10466.404964525826	-3135.086539134749	-7331.318425391077	154.6521673167419	29.676987388719372	64.30632481184273	37.1023549325645	35.119085749402025	97.76299343726978	136.744120797749	98.05204621669263	149.705610667821	106.45895732055699	16.249118675974348	8.0	13.0	1.0	9.0	3.0	1.0	3.0	15.0	1.0	5.0	5.481474527446939	12.62684479014912	12.018886618922144	22.212722574941672	0.2431104912314249	0.2532994843506334	0.24770444091598204	0.25588558350195956	0.047236290775560345	0.6544680349802198	0.14973744670625877	2.7005251065874756	8.246951481324972E-4	8.24695148132497E-4	-2313.2779902064135	-5018.040435184664	0.0	-300.76442588324693
290000	-10472.847640940214	-3137.069436679862	-7335.778204260351	127.94349776448664	38.62356802775852	111.54306550763309	58.17814707653292	47.600759865297384	37.62998594793696	81.39264608590135	36.071670178410564	81.77636485733063	203.95861341541655	51.48645059187738	15.0	9.0	4.0	2.0	1.0	1.0	2.0	16.0	4.0	5.0	3.2426673743818633	6.5720790631559165	15.210948053699099	20.708735005802094	0.221651450014874	0.25530704868644644	0.25170344608250306	0.2713380552161763	0.01075597496704168	0.6141374585152517	0.17615312129475696	2.6476937574104795	7.267149943530442E-4	7.267149943530442E-4	-2315.3109806253615	-5020.46722363499	0.0	-303.35609820948537
300000	-10457.908294833365	-3126.1507133410046	-7331.757581492361	140.855649042032	18.2889864864062	57.71887820269552	34.20281774345679	50.083503785277316	114.04699177878389	93.9753754823112	36.483368062354664	83.32479131564536	105.53899092353038	87.06689002021008	11.0	12.0	3.0	7.0	4.0	9.0	4.0	2.0	4.0	3.0	3.701666044874543	9.156523478732353	13.784004621157226	20.615629797086367	0.2306549213727397	0.27472220085772525	0.24828625416778535	0.2463366236017495	0.04560803820547421	0.7389232691663699	0.18136751046257138	2.6372649790748506	8.789783881731777E-4	8.789783881731783E-4	-2315.627614186452	-5016.129967305909	0.0	-293.1960810774282
310000	-10460.205909200953	-3123.946929114509	-7336.258980086444	147.5237605543976	18.679860164784163	38.78173325012945	35.627101467908936	55.674476077117774	38.08473761838923	60.46989963077023	53.79146014557797	57.979024139739764	100.00618750604126	37.57820360976254	13.0	2.0	12.0	9.0	7.0	1.0	6.0	2.0	3.0	4.0	3.480398980840746	8.197091806753823	12.583212655800901	22.189213155534095	0.2296175334893065	0.2549671419706847	0.24627575290142864	0.26913957163858	0.011678011389994325	0.5265372479884073	0.167338347358693	2.665323305282606	7.785487931651171E-4	7.785487931651169E-4	-2314.37419957287	-5021.884780513574	0.0	-295.7178255597478
320000	-10469.783717953589	-3121.2805110620966	-7348.503206891492	124.66121896642797	17.52955476616576	49.64190059547326	21.21073925646846	35.915115249289855	122.88056262062992	72.89114188748658	31.654438360793282	65.1535308598106	227.08668344438811	50.04588996983816	12.0	10.0	2.0	3.0	9.0	9.0	6.0	1.0	1.0	6.0	5.987519149137583	6.981005364137475	14.264960197545218	19.925821429863763	0.23490444876989489	0.2643313010213638	0.2488609133390588	0.2519033368696823	0.07112971214044679	0.5565621078476205	0.1820528416172058	2.6358943167655804	8.597696196661445E-4	8.597696196661442E-4	-2311.9600622945254	-5036.543144596966	0.0	-287.2150837607181
330000	-10459.177262149798	-3136.3522006093376	-7322.825061540461	140.8578137171609	42.61684176616482	66.33009934602518	63.46895265893038	89.28520429685432	78.99342101922285	43.8011212531334	33.65013477856	176.6276792113581	478.20999384026425	38.422216247181446	9.0	11.0	9.0	7.0	4.0	5.0	6.0	1.0	1.0	6.0	5.731921413665572	12.735766974979834	15.33873883017861	22.29187856771904	0.22805837033808107	0.2581854512148047	0.24225315131929548	0.27150302712781843	0.028652537753372433	0.7350568563959559	0.1335293509746854	2.7329412980506222	8.133145100869825E-4	8.133145100869828E-4	-2307.6741378299544	-5015.150923710507	0.0	-296.6652989494216
340000	-10463.27811157544	-3124.222767565784	-7339.055344009657	136.07469118095293	28.114059735219463	51.32519437723697	63.57643136620642	89.74264305213667	42.81159613592383	18.040882558237797	52.602879283673154	125.37029567693749	72.79492541827867	32.363526383276586	14.0	21.0	11.0	2.0	1.0	1.0	2.0	1.0	3.0	3.0	4.531908463935223	16.417019783579047	14.003099299561285	24.308987431530408	0.2483588987072051	0.25350148361937236	0.23234262283360826	0.2657969948398139	0.0330117954840941	0.6911567296610435	0.19358309012131034	2.6128338197573733	8.716411755919184E-4	8.716411755919185E-4	-2323.823845980665	-5015.231498028992	0.0	-291.22774354342187
350000	-10466.30671233789	-3134.476713858087	-7331.829998479803	135.2030477032896	31.40864212939523	106.68135065548242	62.15196458681757	83.20459565019918	31.75720194415612	34.2789825159681	108.7106769896263	189.50477094445583	23.439685716259714	36.53316739315397	14.0	19.0	1.0	5.0	10.0	1.0	1.0	3.0	4.0	1.0	3.692549321283603	9.273643715078261	13.953286290691377	23.538736224608403	0.24410643860958628	0.25217400455678596	0.24322083091011618	0.26049872592351137	0.054731976542559437	0.7472691393404786	0.16013861611922944	2.6797227677615365	8.430554526754271E-4	8.430554526754272E-4	-2307.8724741623137	-5023.9575243174895	0.0	-299.91163699218737
360000	-10460.679098346434	-3129.162205944676	-7331.516892401758	146.56918212368802	23.714047301786415	54.47667324283578	68.02772286262977	134.1622731386546	51.789411672928225	45.11591957995497	90.53457766582073	61.14748718289425	28.65842751703681	49.58700070165222	9.0	21.0	3.0	8.0	7.0	3.0	2.0	4.0	1.0	1.0	8.144242356321381	14.53261337745496	19.070892098115205	24.095986642531628	0.25032688592229285	0.26365246252569774	0.21980940339777422	0.2662112481542349	0.025162499055701112	0.5730911281006866	0.1659198527637555	2.668160294472484	8.858762324771382E-4	8.858762324771381E-4	-2313.554229720304	-5017.962662681453	0.0	-294.99981611149605
370000	-10459.254302608799	-3133.5506231611275	-7325.703679447672	121.1539307455497	29.87999268399314	34.44685287239347	103.8382797217596	130.6238953255424	34.277844224080525	67.25672384679343	44.384538413943076	147.87827352487145	122.31439795184048	55.01307044246124	9.0	16.0	7.0	7.0	3.0	4.0	2.0	2.0	8.0	1.0	2.9528687823592117	5.697543147535414	14.561739770148067	21.485513937718743	0.23024737048873667	0.26640762351115427	0.24038009141727837	0.26296491458283044	0.04527339320885358	0.6973300630267847	0.1640990253006983	2.6718019493985974	9.206668745305153E-4	9.206668745305146E-4	-2313.0095557509603	-5012.694123696711	0.0	-299.74097268398697
