#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:GI.2_aa_polym_n17.tree" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:GI.2_aa_polym_n17.tree" lower="0.0" name="popSizes" upper="380000.0">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:GI.2_aa_polym_n17.tree" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:GI.2_aa_polym_n17.tree" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:GI.2_aa_polym_n17.tree">
#                    <trait id="dateTrait.t:GI.2_aa_polym_n17.tree" spec="beast.evolution.tree.TraitSet" traitname="date" value="MG515479_Hu/GI.2/Shenzhen-22_2016=2016,MG515476_Hu/GI.2/Shenzhen-2_2016=2016,MG515477_Hu/GI.2/Shenzhen-5_2016=2016,MG515478_Hu/GI.2/Shenzhen-10_2016=2016,MH541042_Hu/DE/2015/GI.2/LeipzigP4-D_2015=2015,MH541039_Hu/DE/2015/GI.2/LeipzigP4-A_2015=2015,MG012441_Hu/US/2016/GI.2/Oakland6371_2016=2016,MF431582_Hu/GI.2/Dublin/2016/IRL_2016=2016,MG012442_Hu/US/2016/GI.2/Oakland3023_2016=2016,MG012440_Hu/US_GI.2/Nashville9411_2015=2015,MK250988_Hu/BRA/2015/GI.2/TO-90_2015=2015,MK250987_Hu/BRA/2014/GI.2/TO-89_2014=2014,MK250986_Hu/BRA/2013/GI.2/TO-07_2013=2013,MK250984_Hu/BRA/2014/GI.2/TO-31_2014=2014,MK250985_BRA/TO-66_2015=2015,MK250983_Hu/BRA/2015/GI.2/TO-65_2015=2015,AB623037_Sapovirus_Hu/OH08021/2008/JP_2008=2008">
#                        <taxa id="TaxonSet.GI2_aa_n17" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.GI2_aa_n17"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:GI.2_aa_polym_n17.tree" jeffreys="true" parameter="@bPopSizes.t:GI.2_aa_polym_n17.tree" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="ClockPrior.c:GI.2_aa_polym_n17.clock" name="distribution">
#            <parameter id="clockRate.c:GI.2_aa_polym_n17.clock" name="x">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="GammaShapePrior.s:GI.2_aa_polym_n17.model" name="distribution">
#            <parameter id="gammaShape.s:GI.2_aa_polym_n17.model" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean">1.0</parameter>
#            </Exponential>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@GI2_aa_n17" id="treeLikelihood.GI2_aa_n17" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:GI.2_aa_polym_n17.tree">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:GI.2_aa_polym_n17.model" shape="@gammaShape.s:GI.2_aa_polym_n17.model" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:GI.2_aa_polym_n17.model" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:GI.2_aa_polym_n17.model" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JTT.s:GI.2_aa_polym_n17.model" spec="beast.evolution.substitutionmodel.JTT"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:GI.2_aa_polym_n17.clock" id="StrictClock.c:GI.2_aa_polym_n17.clock" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	mutationRate	gammaShape	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
320000	-2455.1338441073917	-2394.2115318007372	-60.9223123066543	-2394.2115318007372	157.5144052172195	8.478469585710674E-4	1.0	0.6726522535298239	-42.55889541451302	6.620664706500481	5.417021946162104	2.115327934771521	5.649260201180725	33.10899172864393	5	3	4	2	2
330000	-2454.439726158262	-2396.33752424295	-58.10220191531187	-2396.33752424295	132.12999939802395	0.001189584974295921	1.0	0.8474073516018965	-41.536958338743425	2.164858666839298	2.5299230254845932	3.6471516710755507	9.096668454895381	42.19635572702362	2	9	3	1	1
340000	-2439.4231291210112	-2395.597691104267	-43.825438016744215	-2395.597691104267	66.79257600016649	0.0017232025122362212	1.0	0.48594783684309467	-25.066793561842577	1.129911935202793	1.5165441059132603	1.8280569508346403	13.854253314249771	58.93421178030259	10	3	1	1	1
350000	-2449.997353330336	-2399.84191459855	-50.15543873178615	-2399.84191459855	60.338014738554705	0.0021280734462411333	1.0	0.3213319876892763	-33.57520343952195	2.203043486061669	7.996901495155246	4.775293427399062	8.804403655241064	24.56996247010814	8	3	1	2	2
360000	-2440.132935909573	-2396.4734155849346	-43.65952032463837	-2396.4734155849346	99.3237226386627	0.00178062693610694	1.0	0.25964031623694594	-28.758429193652916	4.466010218028132	1.7490796832547177	2.207014135493662	7.380270940908678	24.365633248657502	4	3	6	2	1
370000	-2449.7270942113187	-2396.4610820255625	-53.2660121857561	-2396.4610820255625	129.95393712664733	0.0010272437667081054	1.0	0.2478657140334644	-35.67767103403585	4.556130328861474	1.2070629311087395	3.543356371461223	6.21240456468853	37.7342112434181	3	5	5	1	2
380000	-2447.735961914615	-2394.2007004558363	-53.535261458778876	-2394.2007004558363	138.76438161348443	8.760849612215906E-4	1.0	0.21047379336042762	-35.266196866666526	2.7757903018437124	2.379494626166562	2.270128350653415	14.846325023098917	48.71245520577632	7	1	6	1	1
390000	-2457.7860981292447	-2395.776684671547	-62.0094134576973	-2395.776684671547	247.86065864249645	5.81023278561095E-4	1.0	0.507060999108083	-45.747739856924596	2.398715022015098	3.0584165005684683	3.7434615180829156	12.095542556226931	40.44603975542209	8	1	5	1	1
400000	-2461.622940478201	-2397.3031446326095	-64.31979584559168	-2397.3031446326095	176.91869732494993	9.741479375345989E-4	1.0	0.23395034622095262	-43.94616953000566	7.866705878680109	3.8595800490508196	1.8176139967195342	4.846831570142515	42.94215678466879	2	8	1	4	1
410000	-2451.5846355841495	-2397.9484895691735	-53.636146014976134	-2397.9484895691735	128.34101615498065	8.550397878825672E-4	1.0	0.5234670666601575	-37.69898778379769	7.043219305980054	1.104748534969097	2.778974737176283	5.929998008196814	22.54361388208726	1	7	4	3	1
420000	-2460.882159075041	-2405.945765459989	-54.936393615051465	-2405.945765459989	61.77735508093694	0.002296826711281888	1.0	0.37402066331208655	-40.2150299953441	3.5126141864448974	4.4491583679411955	1.5524441668567368	5.260928594419655	17.031793817393797	4	2	8	1	1
430000	-2442.5826352064573	-2398.2725262520253	-44.31010895443201	-2398.2725262520253	114.66992088961577	0.0016704317416633184	1.0	0.14322302354680083	-28.016570473138295	1.3634502768621366	2.2627413848350066	4.91935768958387	19.963365075382377	44.61533374888883	8	2	4	1	1
440000	-2446.5078431144752	-2396.3468963194255	-50.16094679504986	-2396.3468963194255	102.11014168591265	0.001449941057271372	1.0	0.30576355121607945	-35.75399300754016	4.740343274285139	3.046620434052155	2.364176547674534	7.209170940279357	18.535624999813706	3	2	9	1	1
450000	-2457.0823491568117	-2396.8123830000145	-60.26996615679714	-2396.8123830000145	195.2318411064319	6.798566329400003E-4	1.0	0.8387592770287694	-42.79872104077145	2.8154273115818245	2.5575329412027963	7.056099121199828	14.981849343455659	47.52074283378982	9	3	2	1	1
460000	-2480.848744040388	-2394.992379406707	-85.85636463368084	-2394.992379406707	780.7760455107625	1.5898510238599586E-4	1.0	0.4898142719514491	-61.62009828354476	7.03980272739314	5.429476354818641	33.87416287898926	59.232162786102236	105.93946471384916	1	11	1	1	2
470000	-2443.531656067876	-2394.6641047329	-48.86755133497607	-2394.6641047329	84.271811988421	0.00161898535661685	1.0	0.2493049998367891	-34.87184988055411	3.6064927195110323	2.2845694093710307	4.300841329766606	5.307833904516824	18.45317933580075	3	7	2	3	1
480000	-2454.6881983516405	-2398.0975183442533	-56.59068000738703	-2398.0975183442533	156.94490377929537	7.927345645284934E-4	1.0	0.34985092950432223	-38.77893234386523	2.4820232921239485	2.338410202631622	4.664344934661905	9.444357045607877	57.11296070822533	4	6	4	1	1
490000	-2483.3781660493005	-2393.2329459464313	-90.14522010286929	-2393.2329459464313	870.783327968451	1.5978369397116256E-4	1.0	0.2304609676610411	-64.23023409577073	11.510904802535524	12.875644348313559	42.83432300065005	69.8380967125342	290.75855309963157	12	1	1	1	1
500000	-2460.488065209112	-2392.9098966072106	-67.57816860190115	-2392.9098966072106	222.16199599116106	6.85250583816159E-4	1.0	0.34726814670881545	-49.23382933029689	3.1901492508992924	5.044046474997467	12.867895943216027	18.73735215011499	55.93293092905647	3	8	1	3	1
510000	-2443.9587341767397	-2392.6068161952876	-51.351917981452075	-2392.6068161952876	145.46441163322405	0.0010301351467935074	1.0	0.34726814670881545	-34.53647297125167	1.681933191445809	2.765867249600534	3.0910280765581306	18.2282406383257	31.35794982618477	3	3	8	1	1
520000	-2444.2581608612113	-2394.7215170021564	-49.53664385905486	-2394.7215170021564	122.80186513563831	0.0010851408375281192	1.0	0.4958710699712949	-37.164636971845184	1.2717907042291279	1.5852084347457753	2.0186470743546776	6.649697834935515	16.7809659528159	5	1	5	3	2
530000	-2441.109029117329	-2392.7809936857234	-48.328035431605514	-2392.7809936857234	104.15917713805659	0.0011901563135338759	1.0	0.4958710699712949	-29.960236560851307	8.274353284873957	2.505675520937953	0.942438813228819	3.6165455707148744	25.25952434420966	2	7	5	1	1
540000	-2461.2612721620985	-2396.4245859498537	-64.83668621224457	-2396.4245859498537	173.79683438523296	8.732103257017104E-4	1.0	0.2070942976805121	-46.77317257752897	14.778062120613434	6.13957085860503	5.739706601099168	10.344250460752185	35.36687798176618	1	6	4	4	1
550000	-2458.913609772451	-2398.805259746511	-60.10835002593946	-2398.805259746511	138.1266346524673	0.0011551056496938927	1.0	0.2070942976805121	-44.79084368780349	2.2105875159344515	2.6973805092844403	2.467473302118646	6.429282078773531	32.31978763589555	6	3	1	4	2
