# BEAST v1.8.4
# Generated Mon Sep 13 16:59:13 JST 2021 [seed=1631519942828]
# -window -working -options
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	kappa1	kappa2	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	skyline
230000	-6782.788305570373	-2337.0642119822496	-4445.724093588124	38.697316726608726	1.171394219858527	0.5762389943631796	2.1419102830284045	3.9320492984646966	1.1613860998104333	2.047751875506743	3.627645260446719	0.8336849682889096	1.0684726787161938	0.36167366631713144	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	9.449315209043592	15.263638110447618	0.26929468243998816	0.24730216963232307	0.24676029052130063	0.23664285740638774	0.2814460977274806	0.003773704456985233	0.003773704456985233	-4445.724093588124	0.0	-14.243672040000748
240000	-6777.509335542989	-2331.250488826989	-4446.258846716	43.593693427974884	0.15031232422079827	0.2807711793068282	0.9053076667237462	0.2868393395174529	1.0014216173311379	0.6406312112261441	0.6875803176643023	0.46784848707347215	1.03001080276168	2.9777909690428004	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	12.006914565152451	17.587482428542792	0.26378111633653345	0.240781917966141	0.2428554276018767	0.2525815380954485	0.1719621068554807	0.003351934184848146	0.0033519341848481463	-4446.258846716	0.0	-15.247455654940792
250000	-6788.59297580069	-2339.394868439948	-4449.198107360742	38.556043611581	0.6643831930254566	0.311894556551646	0.380367226021987	0.6406118017442329	5.240993971234931	14.582732865663578	1.5401419066193969	0.9484053072714239	1.5236933755688	1.6904352251130075	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	6.938666873292041	15.08816915682335	0.2600390840876163	0.25184027953894045	0.24709361748349282	0.24102701888995	0.3380908873239066	0.003407438039191974	0.0034074380391919735	-4449.198107360742	0.0	-13.22287706685942
260000	-6784.281323271212	-2339.9228434269257	-4444.358479844286	50.539517218424876	0.2963304299259047	0.52377172264885	0.3872650699403782	0.5011780649185964	3.1915626639716876	1.762449278765394	4.6304660340898005	1.1285593388817814	1.5461500818396396	4.523826954155624	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	9.017067785296655	22.551312698334655	0.2536038802200314	0.25403692257803484	0.2583469523290414	0.23401224487289182	0.199193811053555	0.0033544478947312335	0.0033544478947312335	-4444.358479844286	0.0	-15.34481941040141
270000	-6782.426252471916	-2343.3921626680935	-4439.034089803823	45.49780549803031	0.4489221650406541	0.7275590919802077	1.6026444498188277	3.1280673129335983	8.345082024840439	4.151706504671153	4.22284884833094	1.9006145039312674	2.0614920663775473	4.117328386359895	1.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	9.009649516507169	17.268958828355142	0.2643018206762163	0.2599191150378974	0.23858337386869932	0.2371956904171864	0.27472419680509375	0.003274792569500617	0.0032747925695006176	-4439.034089803823	0.0	-16.701634995349114
280000	-6783.11667666758	-2342.807188176339	-4440.309488491241	44.5158960495794	0.6446349377583747	1.1761686703183678	1.0444929067061195	1.6665778827406155	6.384690140137545	2.716034389222138	6.008726445657961	1.5391023390728809	0.7825091096570541	4.595784827064107	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	9.645280379104271	15.55955392908283	0.2561719982167064	0.2711837489358165	0.2406043995074111	0.23203985334006555	0.19086200662855562	0.0038391492511652405	0.0038391492511652405	-4440.309488491241	0.0	-13.704481391117833
290000	-6789.210565860163	-2344.8626682384524	-4444.34789762171	43.622449489818536	0.8768189176524138	0.31315161019463916	2.0080877224727365	2.6215788209426605	2.4681370665313715	5.575689937269473	2.383948283917113	2.633571347483502	2.1713900562226525	3.3484990548374918	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	9.079726091723737	14.689642130934459	0.2527982296415322	0.2740147217323716	0.22447472957114997	0.24871231905494576	0.2236684703905987	0.0032843743829726905	0.0032843743829726905	-4444.34789762171	0.0	-17.474328366965608
300000	-6790.819763500716	-2347.0689460139565	-4443.75081748676	46.80999981110264	0.2581531364325991	0.8733718732577604	0.8029991026108569	2.113945291212943	4.378555421573152	1.4295680707756506	3.2223635132569854	0.9028535152643795	3.4133514522594965	12.384082223762178	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	14.404969529730684	17.05489231524507	0.2673429036185572	0.25094103997651285	0.24396310938784796	0.2377529470170816	0.17193155591191484	0.003354621121127784	0.003354621121127784	-4443.75081748676	0.0	-18.151582622314457
310000	-6796.870277299465	-2348.6781823351375	-4448.192094964327	53.73071399406786	0.4622817960439951	0.3882255934660008	0.5494337759696832	3.2684977276096214	7.739514597295016	5.287960679057795	4.1515628437156815	2.0290230185366203	2.780644201613388	7.012487905317138	1.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	11.08023202816492	16.722421258961475	0.24469783932785244	0.25837631900893515	0.2470530061471685	0.2498728355160434	0.22189529277987458	0.0026677363051204467	0.002667736305120447	-4448.192094964327	0.0	-20.1606148982423
320000	-6782.142670712774	-2337.979249832798	-4444.163420879976	43.49909034029842	0.15580221621950258	0.30278455852258035	0.7307872208218557	2.5676444357188863	1.99728512268531	4.686433606812579	1.1864735285419108	0.7886864841693064	1.0610252181702164	1.2922307067629009	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	10.904396823344026	18.55149148600928	0.24945258606704185	0.2779316653223326	0.24265817510495685	0.22995757350566812	0.20549490877373183	0.003293842904144525	0.0032938429041445244	-4444.163420879976	0.0	-18.01406838609045
