#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:sav GI.2.tree" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:sav GI.2.tree" lower="0.0" name="popSizes" upper="380000.0">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:sav GI.2.tree" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:sav GI.2.tree" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:sav GI.2.tree">
#                    <trait id="dateTrait.t:sav GI.2.tree" spec="beast.evolution.tree.TraitSet" traitname="date" value="FJ844411.5_GI.2/Kecskemet/HUN3739_HUN_2008=2008,SaV/9-5/Taipei/07/TW_EU124657.1_GI.2_2007=2007,Potsdam/2000-AF294739._GI.2_2000=2000,Parkville_U73124.1_GI.2_1997=1997,Nobeoka-1-3-day6/2005_AB455800.1_GI.2_2005=2005,Nobeoka-1-3-day28/2005_AB455802_GI.2_2005=2005,Nobeoka-1-3-day14/2005_AB455801.1_GI.2_2005=2005,Nobeoka-1-2-day25/2005_AB455799_GI.2_2005=2005,Nobeoka-1-2-day15/2005__AB455798.1_GI.2_2005=2005,Nobeoka-1-1-day3/2005_AB455796.1_GI.2_2005=2005,Nobeoka-1-1-day11/2005_AB455797.1_GI.2_2005=2005,Miyagi/GeO38/2009_AB630340_GI.2_2009=2009,Houston/90_U95644.1_GI.2_1990=1990,AF294739_Potsdam_germany_GI.2_2000=2000,AB614356_BR_DF01_BRA_GI.2_2009=2009,Chiba/041413/2004_AB258427.1_GI.2_2004=2004,MK250983/BRA/2015/GI.2/TO-65_2015=2015,MK250985_BRA/TO-66_2015=2015,MK250987_Hu/BRA/GI.2/TO-89_2014=2014,MK250988_Hu/BRA/GI.2/TO-90_2015=2015,MK250986_Hu/BRA/GI.2/TO-07_2013=2013,MK250984_Hu/BRA/GI.2/TO-31_2014=2014,MG012442.1_SapovirusUS/Oakland3023_GI.2_2016=2016,Aichi/2010_AB607855.1_GI.2_2010=2010,MG012441.1_Sapovirus/Oakland6371_GI.2_2016=2016,MG012440.1_Sapovirus_Nashville9411_GI.2_2015=2015,KM092508.1_isolate_13-SaV-2-3_GI.2_2013=2013,KM092507.1_isolate_13-SaV-2-2_GI.2_2013=2013,KM092506.1_Sapovirus_isolate_13-SaV-1-2_GI.2_2013=2013,JX993277.1_Sapovirus_G1/BE-HPI01/DE_GI.2_2012=2012,LC081178.1_Sapovirus_OH13068_GI.2_2013=2013,LC081170.1_Sapovirus_OH13033_GI.2_2013=2013,LC081169.1_Sapovirus_OH13028_JPN_GI.2_2013=2013,LC081166.1_Sapovirus_OH13019_JPN_GI.2_2013=2013,LC081164.1_Sapovirus_OH13013_JPN_GI.2_2013=2013,LC081162.1_Sapovirus_OH12095_JPN_GI.2_2012=2012,LC081155.1_Sapovirus/OH12009_GI.2_2012=2012,MG132178.1/Shenzhen-23_CHN_GI.2_2016=2016,MG132174.1_/Shenzhen-4_CHN_GI.2_2016=2016,MG515479.1_Shenzhen-22_CHN_GI.2_2016=2016,MG515478.1_Shenzhen-10_CHN_GI.2_2016=2016,MG515477.1_Sapovirus_Shenzhen-5_CHN_GI.2_2016=2016,MG515476.1_Sapovirus/Shenzhen-2_CHN_GI.2_2016=2016,23_peru_SP265X_GI.2_2018=2018,18_peru_SP223X_GI.2_2018=2018,17_peru_SP223X_GI.2_2018=2018,16_peru_SP223X_GI.2_2018=2018,15_peru_SP223X_GI.2_2018=2018,14_peru_SP223X_GI.2_2018=2018,s67_22_miyagi_outbr_GI.2_2013k4_2013=2013,s66_21_miyagi_outbr_GI.2_2013k4_2013=2013,s70_25_miyagi_outbr_GI.2_2013k4_2013=2013,s69_24_miyagi_outbr_GI.2_2013k4_2013=2013,s68_23_miyagi_outbr_GI.2_2013k4_2013=2013,SN091X_TG22010_phil_batch7_2018=2018,SN091X_TG21997_phil_batch7_2018=2018,SN091X_TG21995_phil_batch7_2018=2018">
#                        <taxa id="TaxonSet.sav GI" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.sav GI"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:sav GI.2.tree" jeffreys="true" parameter="@bPopSizes.t:sav GI.2.tree" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="UCMeanRatePrior.c:sav GI.2.clock" name="distribution">
#            <parameter id="ucedMean.c:sav GI.2.clock" name="x">1.0</parameter>
#            <Uniform id="Uniform.3" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@sav GI" id="treeLikelihood.sav GI" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:sav GI.2.tree">
#            <siteModel id="SiteModel.s:sav GI.1.mod" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:sav GI.1.mod" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:sav GI.1.mod" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:sav GI.1.mod" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JTT.s:sav GI.1.mod" spec="beast.evolution.substitutionmodel.JTT"/>
#            </siteModel>
#            <branchRateModel clock.rate="@ucedMean.c:sav GI.2.clock" id="ExponentialRelaxedClock.c:sav GI.2.clock" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:sav GI.2.tree">
#                <Exponential id="Exponential.c:sav GI.2.clock" name="distr">
#                    <parameter id="UCExpLambda.c:sav GI.2.clock" name="mean">1.0</parameter>
#                </Exponential>
#                <rateCategories dimension="112" id="expRateCategories.c:sav GI.2.clock" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5	ucedMean	rateStat.mean	rateStat.variance	rateStat.coefficientOfVariation
220000	-2744.0884172997485	-2646.754067194656	-97.33435010509264	-2646.754067194656	28.020852340688712	-93.68689621491588	0.1376557852820342	0.34168201500256196	0.9017693571952508	1.3996799944858367	2.4927975041289243	1	6	2	7	40	0.0038924226963183823	0.00264177071066216	1.1132852571179216E-5	1.024569998433207
230000	-2759.8731673385073	-2645.3406708927055	-114.53249644580201	-2645.3406708927055	30.70973915077466	-105.46202414077752	0.8227580562398198	1.9197005926630588	3.242286082513238	5.311609042565583	1.6034776451641481	7	7	25	11	6	0.0029756718108532223	0.0022420889513101163	6.039241590517404E-6	0.9291560087563794
240000	-2758.5380982062957	-2642.2072986069174	-116.33079959937827	-2642.2072986069174	30.816219855678707	-108.2358808385962	1.7258505270717992	1.7167634667205232	1.033990608510503	2.4502127286228985	3.838860262142836	7	7	3	8	31	0.0029384825408125953	0.0024088218751266766	8.441724769660648E-6	0.9524191991352174
250000	-2721.629361697557	-2631.2008865600455	-90.42847513751153	-2631.2008865600455	29.613648751989384	-82.86046538682659	0.35789040737317046	1.3538875896775706	1.726797064573938	3.1846845874855654	2.2700091267079783	7	8	15	2	24	0.003972838589416103	0.0029959692690332534	1.4562482633093112E-5	1.0065289829631665
260000	-2746.2865076105145	-2644.00788356572	-102.27862404479453	-2644.00788356572	28.009598510290527	-93.9716049970261	1.1053508137198467	1.914965983371217	1.3821986376444646	3.8949478202256986	1.953172669205555	12	4	1	28	11	0.0038682639500773417	0.0034701649251334143	1.5041638680919E-5	1.0279410203588186
270000	-2759.3620263178573	-2635.760055518021	-123.60197079983615	-2635.760055518021	31.544577934902453	-113.18315932419583	1.4374306788941145	3.3326832414641148	0.862160079791865	3.3157174333594366	3.3685537374828414	7	4	4	38	3	0.002582583979695005	0.002155231404907781	6.2246606000734785E-6	0.959587210312539
280000	-2788.1652968636827	-2656.256382669132	-131.90891419455056	-2656.256382669132	29.17884566873383	-120.38363278505001	3.3679314979272856	4.837426927686755	7.398513087108138	5.3931409653029645	0.7506889610230937	15	6	12	12	11	0.0027480484053575816	0.0023899757834249884	5.4092069823703515E-6	1.018177003323318
290000	-2772.224757464167	-2636.135582935652	-136.089174528515	-2636.135582935652	30.77081250194694	-126.70337728301585	2.548590594514844	5.163041918031935	3.8919652781257064	1.8564874337344714	1.1861659754233584	13	1	27	13	2	0.0022375924722918606	0.0022188732559053786	4.242025172788129E-6	0.9832820822966402
300000	-2774.0993971425128	-2646.0162670308728	-128.08313011163997	-2646.0162670308728	28.815461295920397	-117.01564016636986	2.2738851628806884	0.9781062724917282	5.328811887432611	3.2148824396629823	0.39924846668786756	22	7	2	23	2	0.002768283460265046	0.002361587106880389	5.098603419340933E-6	0.9893990655094529
310000	-2756.328245257394	-2639.8834967399207	-116.44474851747341	-2639.8834967399207	29.042720387081104	-108.78247200772488	2.313669555141702	2.91008412732066	2.2089889248184296	1.1541747599365706	1.6633446212926934	22	7	14	1	12	0.003648208767495075	0.0025990465681186934	1.0259897188359196E-5	1.0070771696109015
320000	-2786.0315181353717	-2640.836732429925	-145.19478570544652	-2640.836732429925	30.390971472720498	-134.21530213780065	2.9861843966935404	1.5561599153939223	3.1460900586517524	7.265000448194341	2.6735505522920238	7	1	19	13	16	0.0028702404099754985	0.002171039235211436	1.2707041693310099E-5	1.2562833534079325
330000	-2793.71815425919	-2631.634353046508	-162.08380121268254	-2631.634353046508	36.41094296970117	-149.7418863464658	5.228363154683878	6.556198287807815	6.740282744155205	3.3802962429609025	4.204040785144613	12	9	19	10	6	0.0015344689759557815	0.0016837070992063528	2.567824675566374E-6	1.0362608041500008
340000	-2776.828147058103	-2645.348058351501	-131.48008870660158	-2645.348058351501	36.286993017158544	-119.49890226842865	1.229125246542938	5.733312541172082	4.122859321998576	2.0871933986972535	3.7152423432430037	19	19	7	5	6	0.0020042515145185713	0.0019336790145239105	4.735500406190507E-6	1.0327677756085045
350000	-2782.998582351554	-2653.46442487108	-129.5341574804739	-2653.46442487108	32.079403882041305	-118.44044773952935	1.8922307596135926	1.008889925822101	4.2340658802862166	3.86356134144191	5.301454565423651	9	6	16	4	21	0.0026401981049770967	0.002253002768341795	7.927770988035076E-6	1.100455678946434
360000	-2763.559758082255	-2641.4322042341037	-122.12755384815152	-2641.4322042341037	28.19758393189875	-112.26807786732907	1.3375856683189498	3.735380775082759	3.8306093407103545	2.3713086514899464	3.1212654847418615	14	4	21	8	9	0.0032822802205708696	0.00241574285671483	8.451343677277676E-6	1.0454295501597262
370000	-2772.261431766157	-2643.157686066794	-129.10374569936255	-2643.157686066794	29.493351586522994	-119.71975682720492	1.0185445994220264	2.2019382928039426	3.0232229765483303	3.423038197045219	5.319302318526801	6	10	9	5	26	0.003140441241795792	0.002272213209236953	7.010380209557245E-6	1.0330980447126707
380000	-2753.249644728818	-2640.2225084755655	-113.02713625325276	-2640.2225084755655	28.312749752632907	-104.94134446498671	1.406421753665835	1.0815415300448414	2.0742053200275805	3.0717362304736504	4.010884571621222	9	1	18	15	13	0.0035245093303438667	0.0025311793866745944	9.27844915086096E-6	0.953967630586631
390000	-2775.9062255458175	-2640.88897257945	-135.01725296636738	-2640.88897257945	33.8230285006365	-126.27533168916281	1.3174555577608749	1.7290905099373979	1.517489016438274	4.611084993205698	2.1612300497649626	7	7	2	23	17	0.002659871007882755	0.0022334422596698945	6.915077399375872E-6	1.0352101102083517
400000	-2769.9755388297394	-2649.0367666343295	-120.93877219540988	-2649.0367666343295	34.71615621507927	-110.32993480519224	0.8001013949205684	1.0181570646058917	4.247836513579885	6.328572689839119	5.132087689611422	10	5	19	9	13	0.0021532903783928145	0.001820860526610963	5.046395371328292E-6	1.0332980508639715
410000	-2756.3707561800866	-2642.8883456463	-113.48241053378665	-2642.8883456463	29.882354789506387	-104.8108704960819	0.9350487979352088	0.9850055601107823	2.837664596353471	4.2119165672550505	3.881212843041318	15	1	11	22	7	0.0028267834072051136	0.0022654101200125266	6.022160982374039E-6	0.9434513490503745
420000	-2764.8667064598694	-2646.3179888243103	-118.54871763555927	-2646.3179888243103	29.11198418367723	-108.79060459955204	0.4979619043918337	2.0802212007538436	4.558537176038283	0.3079666253188166	1.1223733220922347	7	9	34	3	3	0.0024021136207121644	0.0022635492147509975	3.796625015964031E-6	1.0389528209567058
