#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:GI.1_poly_n23_tree" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:GI.1_poly_n23_tree" lower="0.0" name="popSizes" upper="380000.0">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:GI.1_poly_n23_tree" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:GI.1_poly_n23_tree" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:GI.1_poly_n23_tree">
#                    <trait id="dateTrait.t:GI.1_poly_n23_tree" spec="beast.evolution.tree.TraitSet" traitname="date" value="Chanthaburi-74/Thailand_AY646854_2002=2002,G1/Zhejiang1/China_KT327081_2014=2014,GI.1/Lima1863_MG012439_2016=2016,GI.1/Nashville9432_MG012437_2014=2014,GI.1/Nashville9478_MG012438_2014=2014,GI.1/Nashville9491_2014=2014,GI.1/Nashville9691-1_MG012435_2013=2013,GI.1/Nashville9691-1_ORF1_MG012435_2013=2013,GI.1/Seoul/ROK62_KP298674_2013=2013,GI/Hunan/China_KX980412.1_2016=2016,GI/Sapporo/MT-2010_HM002617_1982=1982,Hu/PE/2014/GI.1/Lima1845_MG012398_2014=2014,Hu/PE/2016/GI.1/Lima1870_2016=2016,Hu/US/2014/GI.1/Nashville9427_MG012497_2014=2014,Hu/US/2014/GI.1/Portland3639_MG012399_2014=2014,MG012399_Hu/US/2014/GI.1/Portland3639_2014=2014,MK111628_Hu/Guangzhou/GZ2013-L013/CHN_2013=2013,MK111629__Hu/Guangzhou/GZ2013-L030/CHN_2013=2013,MK111630_Hu/Guangzhou/GZ2014-L078/CHN_2014=2014,Sapovirus_Hu/Dresden/pJG-Sap01_KP298674_2013=2013,Sapovirus_Mc114_AY237422_2001=2001,Sapovirus_N21_AY237423_2002=2002,Sapovirus_NongKhai-50/Thailand_AY646853_2002=2002">
#                        <taxa id="TaxonSet.GI1_aa_n23" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.GI1_aa_n23"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:GI.1_poly_n23_tree" jeffreys="true" parameter="@bPopSizes.t:GI.1_poly_n23_tree" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="ClockPrior.c:GI.1_poly_n23.clock" name="distribution">
#            <parameter id="clockRate.c:GI.1_poly_n23.clock" name="x">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="GammaShapePrior.s:GI.1_poly_n23.model" name="distribution">
#            <parameter id="gammaShape.s:GI.1_poly_n23.model" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean">1.0</parameter>
#            </Exponential>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@GI1_aa_n23" id="treeLikelihood.GI1_aa_n23" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:GI.1_poly_n23_tree">
#            <siteModel gammaCategoryCount="5" id="SiteModel.s:GI.1_poly_n23.model" shape="@gammaShape.s:GI.1_poly_n23.model" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:GI.1_poly_n23.model" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:GI.1_poly_n23.model" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JTT.s:GI.1_poly_n23.model" spec="beast.evolution.substitutionmodel.JTT"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:GI.1_poly_n23.clock" id="StrictClock.c:GI.1_poly_n23.clock" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	mutationRate	gammaShape	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
340000	-2169.808472665415	-2054.0623518946622	-115.7461207707528	-2054.0623518946622	34.13879844963718	2.868201809830081E-4	1.0	0.911817861312491	-96.14635847557344	90.81864185414139	30.89638684031501	14.336993478863986	3.0157619736102013	4.397881820035699	7	7	4	3	1
350000	-2158.921182508571	-2048.5437853328026	-110.37739717576828	-2048.5437853328026	35.40746376734741	3.609345853499802E-4	1.0	0.27338282564484034	-90.45148407005766	41.88353912185118	12.85551084749688	30.611438381200017	17.336202606222663	1.739579877392536	1	6	3	7	5
360000	-2163.1181123775946	-2055.150949360508	-107.96716301708636	-2055.150949360508	34.926434775256496	3.5674647896111986E-4	1.0	0.13941496388310473	-89.38532532981763	41.03467166534037	19.94657059131715	20.413085897082944	11.077070755367632	6.063066351701272	7	1	12	1	1
370000	-2168.16766209779	-2047.7261968365815	-120.44146526120838	-2047.7261968365815	37.876807480193875	2.5014848207854256E-4	1.0	0.20292995331814748	-97.0379570531386	46.53179206900283	32.9046416862276	60.83540882488628	63.89478111820409	9.904392827070474	8	5	2	2	5
380000	-2167.3179178295436	-2049.6774657260044	-117.64045210353946	-2049.6774657260044	42.22617518724288	2.802244052964948E-4	1.0	0.10527726628776383	-95.19255182878439	7.448987046000135	10.510419269872457	30.769780444266086	106.84642070109008	6.965427577057814	1	3	9	4	5
390000	-2143.218424664956	-2047.478515834281	-95.7399088306747	-2047.478515834281	34.297815373586715	3.9494400966997656E-4	1.0	0.07260523125729418	-79.7905796163059	10.19694766051474	24.942153089161575	24.03744811376406	2.9169353949115497	0.6846711434555284	8	3	7	3	1
400000	-2159.1787490991246	-2055.482944001895	-103.69580509722982	-2055.482944001895	34.09110044556293	3.958573801466913E-4	1.0	0.13085744488253223	-85.00579654557657	23.962428090766814	23.154394308886346	20.203500199116576	21.305130298759554	2.2546568850191684	5	5	7	3	2
410000	-2152.614156241683	-2054.473246795015	-98.14090944666822	-2054.473246795015	36.29101218592	3.0912731299964023E-4	1.0	0.5787648024955933	-81.29001995602071	12.834843219129027	10.843051888752898	22.952236636687893	8.15975999972551	1.9138685198996703	8	1	9	3	1
420000	-2168.1188814951274	-2057.573233915933	-110.5456475791943	-2057.573233915933	41.13327980902495	3.7484942115710004E-4	1.0	0.9223616171565977	-91.35600505819522	20.3345315698333	17.169596371716604	25.085769228661118	17.510007278505505	5.445728384649077	7	3	10	1	1
430000	-2166.758289424913	-2056.2995159158972	-110.45877350901587	-2056.2995159158972	36.51666262411745	3.535383295190802E-4	1.0	0.9223616171565977	-84.49189245796424	99.70463679027303	28.60265686093679	27.997741317495883	92.57431162756797	5.021492182848203	1	9	4	3	5
440000	-2155.726264789818	-2055.2872024849257	-100.43906230489226	-2055.2872024849257	35.05171175400816	3.935699646570438E-4	1.0	0.5313284468678688	-84.75128571480897	30.86320994020249	19.257543039081337	5.9324370598052525	0.8949920648604401	2.3153754195681064	16	1	1	1	3
450000	-2172.3742146165205	-2049.761460749379	-122.61275386714172	-2049.761460749379	43.24536099001473	2.6278485904813244E-4	1.0	0.07243753178617751	-99.66912787313676	94.07922395609654	68.54505584194126	34.842412001839605	24.3446991006168	21.34206667960943	2	2	3	14	1
460000	-2188.1680258259735	-2059.950155137172	-128.2178706888018	-2059.950155137172	56.43549769684417	3.085628888878203E-4	1.0	0.016363128923682625	-102.82143561136996	166.2756514484679	45.3744136515147	23.050889067773255	63.343558435414096	33.10730948018654	3	1	7	10	1
470000	-2184.7694530335625	-2048.1044793645706	-136.66497366899182	-2048.1044793645706	60.99152551894186	1.1073203101873697E-4	1.0	0.016363128923682625	-113.36437770466819	135.8997849480303	59.70718156600845	106.77369856807658	9.428810532933658	1.3249439956820555	2	9	7	3	1
480000	-2165.727009634218	-2051.204662493966	-114.52234714025195	-2051.204662493966	35.96594507391176	4.471962977105596E-4	1.0	0.044396486469988054	-91.09173422324753	77.99812536816384	83.97944967193541	15.248098706706045	34.4933371811385	15.751679809737782	2	3	10	2	5
490000	-2179.6319774083213	-2060.0839133882555	-119.54806402006596	-2060.0839133882555	47.23756599754658	2.9332129875810623E-4	1.0	0.11678968741220004	-96.53250866586001	91.96621910928619	9.728924531986893	12.506818776098996	19.993656721970968	61.36438449382988	9	3	4	4	2
