# BEAST v1.8.4
# Generated Mon Sep 13 16:57:42 JST 2021 [seed=1631519848854]
# -window -working -options
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	kappa1	kappa2	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	skyline
200000	-11364.291858638213	-2483.36054820191	-8880.931310436303	129.77331097750215	2.100401646017227	7.6091371472996165	13.845857156590661	41.824805851062614	28.79920055373081	40.87499213145288	83.32440226212019	224.02738305169188	87.41121648340582	62.06671426655396	2.0	3.0	1.0	1.0	2.0	1.0	12.0	1.0	1.0	4.0	13.40370850868855	28.38270388976961	0.28499653955307447	0.2621517853735816	0.22656452854250275	0.22628714653084137	0.16255692649491768	0.0014146873114847184	0.001414687311484718	-8880.931310436303	0.0	-127.77420093823567
210000	-11361.796232132972	-2480.0114972915103	-8881.784734841462	124.82389601751616	6.377510685341921	22.613432326287427	46.44709086842532	69.05741575108857	39.50433816720386	53.52918095785809	67.39975743304456	77.6249224345456	18.171310375501157	13.281867117700642	6.0	1.0	2.0	2.0	2.0	1.0	6.0	3.0	1.0	4.0	13.736075080511341	27.55335550734074	0.27904346196493557	0.24860229725171995	0.23598467604184256	0.2363695647415022	0.17535925986572132	0.0015573064121376609	0.0015573064121376609	-8881.784734841462	0.0	-125.56252202189945
220000	-11360.587584538998	-2476.1734785738113	-8884.414105965187	96.6332841061593	2.1648098368762057	4.560474046102585	13.695896637692444	26.807860264432662	80.20812347407035	113.49017338347318	61.738841618058686	149.2324415066279	14.00155282666022	29.714321325200263	2.0	3.0	1.0	1.0	5.0	4.0	6.0	1.0	4.0	1.0	14.536216735808493	28.385335071043954	0.2691485302199633	0.2577077835067007	0.2389375134375712	0.23420617283576506	0.1841836557411226	0.0017278415074435177	0.0017278415074435183	-8884.414105965187	0.0	-121.31672992392015
230000	-11388.585523090507	-2492.3430480778597	-8896.242475012648	126.6023364814836	6.550085079490018	37.52690392514282	57.82202651084949	7.513114233723232	14.637919717365214	43.30759558610568	44.01711140361354	221.51362586302827	59.118845951260944	30.578587705634288	3.0	3.0	4.0	1.0	1.0	3.0	7.0	3.0	2.0	1.0	13.694162897285837	24.115350076266385	0.26536021646128466	0.2735279911263001	0.23888998585731047	0.22222180655510518	0.1534938820684502	0.0014572364274392543	0.0014572364274392543	-8896.242475012648	0.0	-132.4260864087596
240000	-11360.430120189363	-2479.5864041603672	-8880.843716028996	122.42599260204796	10.591904353000212	6.889201148917184	11.030048311211521	17.935013471871105	12.294346732198141	35.734439445886125	54.66986048938639	104.84405451077745	17.495131511309577	20.725812064399197	1.0	1.0	1.0	2.0	2.0	4.0	4.0	9.0	1.0	3.0	14.505630549461193	30.66004472369112	0.2965639968880436	0.24623671420406218	0.2280082585053102	0.2291910304025845	0.17940414754829473	0.0015036263928764819	0.001503626392876482	-8880.843716028996	0.0	-129.37693435867394
250000	-11366.738232893726	-2478.1262375676947	-8888.611995326031	116.86335631127014	4.55918324164581	7.842754819637218	16.913462101629968	45.703357888051755	24.182928755669867	34.60318130367826	17.221651362994198	36.614631961927664	11.660852129139807	50.20723516868913	4.0	2.0	2.0	5.0	2.0	3.0	3.0	4.0	2.0	1.0	17.060488114851832	29.279127291046517	0.2737612524494111	0.2699755149076114	0.22982068214645537	0.2264425504965227	0.16973730386661973	0.0018035336844432507	0.0018035336844432505	-8888.611995326031	0.0	-126.13691192509594
260000	-11365.72464269659	-2480.0702053055716	-8885.654437391018	138.18336654164662	4.496620503314643	13.308738988636316	25.12479453054831	59.99151470109852	46.07706390843882	91.56485272478535	6.8079810704000385	16.49938015443952	16.57270106940244	26.042528028655816	4.0	1.0	2.0	6.0	2.0	8.0	1.0	2.0	1.0	1.0	13.33523944030383	28.55270663759371	0.28003949654386584	0.2566879876591797	0.23690354205435762	0.22636897374259737	0.16463952579041946	0.0014341391209695773	0.0014341391209695775	-8885.654437391018	0.0	-128.25056584779557
270000	-11364.476787469588	-2475.8713766933047	-8888.605410776283	128.36316351448843	1.5071997303258022	3.232509181925924	12.102861049684234	35.765554276993484	46.812090228161146	43.9411648206027	113.97352744494624	28.646202843450673	12.593029121192723	16.574933854078644	1.0	2.0	3.0	1.0	6.0	9.0	1.0	2.0	1.0	2.0	14.416241753746583	29.55273500737978	0.26670969328401206	0.25804083898327795	0.24645087153237802	0.22879859620033258	0.18734604455950965	0.001596004150049439	0.0015960041500494395	-8888.605410776283	0.0	-125.47389731501403
280000	-11362.339862213137	-2482.623054829693	-8879.716807383444	120.1041988806635	1.502947317197167	8.294107963762682	13.905625741979817	15.299790565881558	67.22303730463781	39.385535829574074	60.94134982105525	220.13835047426033	43.78819803652403	45.88870615730582	3.0	1.0	2.0	1.0	10.0	3.0	2.0	1.0	1.0	4.0	13.90282436200594	26.470972376946726	0.28188249904338536	0.2658639741261795	0.22570107098449843	0.22655245584593717	0.1935448498018231	0.0016238464894054805	0.0016238464894054807	-8879.716807383444	0.0	-125.4077159238596
290000	-11368.52862329941	-2486.687993886462	-8881.840629412947	126.27560210639903	6.190870699813654	21.2866752152672	26.969165536431955	34.438255534498374	86.49270157127218	161.2762783429266	52.69775451790448	199.94297737574587	17.471200832199255	30.961116718812118	2.0	4.0	1.0	4.0	4.0	3.0	4.0	2.0	1.0	3.0	15.166846941873201	25.976104681007897	0.30141993799807	0.2508840276460828	0.22050413681800068	0.227191897537847	0.1546166386244312	0.0014953719839849787	0.001495371983984979	-8881.840629412947	0.0	-127.11476772957607
